177 1100 N 1000 N 5170 822 -22900 1
178 1100 N 1100 N 5170 817 -22792 1
179 1000 N 1250 N 4700 824 -22916 1
180 1000 N 1250 N 4700 817 -22805 1
181 800 D 1000 D 4160 826 -21565 1
182 900 N 1100 N 4230 820 -21548 1
183 800 N 900 D 3760 825 -21558 1
184 600 N 800 N 2820 826 -21638 1
185 600 N 700 N 2820 826 -21449 1
186 700 N 600 N 3290 828 -21681 1
187 800 N 600 N 3760 829 -21540 1
188 900 N 800 N 4230 828 -21531 1
189 1000 D 1100 D 5200 823 -21595 1
190 800 N 1000 N 3760 828 -21658 1
191 700 D 800 D 3640 822 -21583 1
192 600 N 700 N 2820 824 -21680 1
193 600 N 700 D 2820 822 -21612 1
194 800 N 700 N 3760 825 -21585 1
195 900 D 1100 N 4680 832 -21309 1
196 800 N 1000 N 3760 821 -21377 1
197 700 N 800 N 3290 820 -21365 1
198 800 N 700 N 3760 826 -21565 1
199 600 N 900 N 2820 821 -21331 1
200 800 N 1000 N 3760 830 -21275 1
201 1000 D 900 D 5200 833 -20281 1
202 800 N 800 N 3760 812 -20321 1
203 700 N 700 N 3290 824 -20229 1
204 700 N 700 N 3290 825 -20284 1
205 900 D 800 N 4680 820 -20315 1
206 900 N 900 N 4230 816 -20300 1
207 900 D 900 D 4680 825 -21460 1
208 800 N 800 N 3760 826 -21167 1
209 700 N 700 N 3290 827 -21302 1
210 800 N 700 N 3760 829 -21465 1
211 800 N 700 N 3760 822 -21434 1
212 800 N 900 N 3760 826 -21553 1
213 700 N 900 N 3290 826 -21464 1
214 600 N 900 N 2820 824 -21430 1
215 600 N 900 N 2820 824 -21468 1
216 800 N 800 N 3760 830 -21542 1
217 1100 N 1250 D 5170 822 -20334 0
218 900 N 1000 D 4230 831 -20433 1
219 900 N 1000 N 4230 819 -20415 1
220 1000 N 1100 D 4700 820 -20159 1
221 1000 N 1100 N 4700 822 -20450 1
222 1000 N 1100 D 4700 823 -20444 1
223 1100 N 1250 D 5170 818 -22813 1
224 1000 N 1100 D 4700 826 -20311 1
225 1000 N 1100 N 4700 827 -20239 1
226 1100 N 1100 D 5170 819 -22953 1
227 900 N 1000 N 4230 818 -20251 1
228 900 N 1000 D 4230 823 -20173 1
229 900 N 1000 N 4230 829 -20222 1
230 1100 D 1250 D 5720 817 -20321 0
231 1100 N 1250 D 5170 821 -22925 1
232 1100 D 1250 D 5720 818 -20372 0
233 1100 N 1250 D 5170 815 -22894 1
234 1000 N 1250 D 4700 819 -20400 1
469 900 F 1000 F 4680 827 -21952 1
470 1000 F 1100 F 5200 832 -21954 0
471 900 F 1000 F 4680 828 -21856 1
472 800 F 900 F 4160 849 -21933 1
473 700 F 800 F 3640 829 -21738 1
474 600 F 600 F 3120 835 -21889 1
475 700 F 600 F 3640 827 -21779 1
476 900 F 700 F 4680 826 -21618 1
477 900 N 1000 N 4230 829 -21526 1
478 800 N 900 N 3760 826 -21442 1
479 600 N 700 N 2820 830 -21383 1
480 700 N 600 N 3290 829 -21255 1
481 700 N 600 N 3290 829 -21452 1
482 800 F 700 F 4160 832 -21942 1
483 1000 F 1100 F 5200 831 -21940 0
484 900 F 900 F 4680 836 -21880 1
485 700 F 800 F 3640 832 -21845 1
486 800 F 800 F 4160 825 -21848 1
487 800 F 900 F 4160 830 -21850 1
488 900 F 1000 F 4680 825 -22083 1
489 800 F 900 F 4160 825 -21918 1
490 600 F 700 F 3120 828 -21933 1
491 600 F 700 F 3120 833 -21796 1
492 600 F 700 F 3120 828 -21807 1
493 800 F 800 F 4160 829 -21902 1
494 900 F 900 F 4680 829 -21960 1
495 1000 F 1100 F 5200 834 -21995 0
496 900 F 1000 F 4680 830 -21802 1
497 800 F 900 F 4160 830 -22177 1
498 700 F 800 F 3640 831 -22057 1
499 700 F 800 F 3640 828 -21940 1
500 800 F 900 F 4160 871 -22120 1
501 800 F 900 F 4160 827 -21895 1
502 700 F 800 F 3640 830 -21974 1
503 800 F 900 F 4160 829 -21998 1
504 800 F 900 F 4160 831 -21861 1
235 1508 D 1200 D 7843 830 -23356 0
236 1508 D 1250 D 7843 834 -23309 0
237 1458 D 1200 D 7583 842 -23308 0
238 1508 D 1150 D 7843 830 -23379 0
239 1358 D 1100 D 7063 835 -23655 0
240 1408 D 1250 D 7323 838 -23200 0
241 1358 D 1300 D 7063 840 -23423 0
242 1408 D 1250 D 7323 834 -23265 0
243 1458 D 1400 D 7583 840 -23669 0
244 1508 D 1450 D 7843 847 -23500 0
245 1458 D 1400 D 7583 830 -23538 0
246 1308 D 1150 D 6803 839 0 0
247 1258 D 1100 D 6543 838 -23475 0
248 1308 D 1150 D 6803 833 -23482 0
249 1558 D 1400 D 8103 832 -23658 0
250 1608 D 1500 D 8363 832 -23524 0
251 1458 D 1300 D 7583 832 -23603 0
252 1508 D 1350 D 7843 841 -23201 0
253 1458 D 1300 D 7583 845 -23257 0
254 1508 D 1350 D 7843 840 -23474 0
255 1458 D 1300 D 7583 842 -23329 0
256 1508 D 1350 D 7843 839 -23253 0
257 1358 D 1200 D 7063 854 -23237 0
258 1408 D 1250 D 7323 848 -23212 0
